,month,TIME,F_MAX
90,4월,18,20671.120723999986
91,4월,19,19929.29796799997
92,4월,20,19357.754644000004
93,4월,21,17740.345215999972
94,4월,22,15991.547126000014
95,4월,23,12669.206731999986
96,5월,0,13354.90983899999
97,5월,1,12328.525625999991
98,5월,2,11221.267291999993
99,5월,3,10373.645370999999
100,5월,4,9968.452874999997
101,5월,5,9875.254357999997
102,5월,6,11102.88527999999
103,5월,7,12272.764806999994
104,5월,8,15016.161414000006
105,5월,9,17298.333733000018
106,5월,10,19159.329033000005
107,5월,11,20583.29434700001
108,5월,12,20713.548178999987
109,5월,13,20514.840534999992
110,5월,14,21426.239953999986
111,5월,15,21502.03368100001
112,5월,16,21341.162875999995
113,5월,17,21036.229139999992
114,5월,18,20563.916360999992
115,5월,19,20573.289073000004
116,5월,20,20089.16342000002
117,5월,21,18906.505406000007
118,5월,22,16948.227169000016
119,5월,23,13506.24343699999
120,6월,0,11570.177976
121,6월,1,10046.193118999992
122,6월,2,9215.32499399997
123,6월,3,8717.843613999989
124,6월,4,8630.652777000003
125,6월,5,9826.016949999981
126,6월,6,11714.300410999967
127,6월,7,12721.653495000008
128,6월,8,14603.21766900002
129,6월,9,16544.87357799997
130,6월,10,17977.77586500002
131,6월,11,19079.662266000003
132,6월,12,18051.626029999996
133,6월,13,18380.08964599996
134,6월,14,18720.19514599999
135,6월,15,18991.11358900003
136,6월,16,19666.38445699999
137,6월,17,20223.230589000043
138,6월,18,19855.21673899997
139,6월,19,20590.11168300002
140,6월,20,18492.53638600002
141,6월,21,16646.518744999958
142,6월,22,14449.383513000013
143,6월,23,11949.54722399999
144,7월,0,8513.793193999996
145,7월,1,7911.799063000002
146,7월,2,5545.850826000006
147,7월,3,5439.473088999981
148,7월,4,5464.002328999996
149,7월,5,5644.202149000004
150,7월,6,6196.155353999999
151,7월,7,6852.382429999996
152,7월,8,7405.060870000007
153,7월,9,7871.7001800000035
154,7월,10,8345.820731000014
155,7월,11,9007.751658000003
156,7월,12,9281.010864000027
157,7월,13,9575.38505100001
158,7월,14,9468.575971000004
159,7월,15,9675.296925000002
160,7월,16,10350.40630500002
161,7월,17,10908.838208000028
162,7월,18,11187.582522000002
163,7월,19,10480.328133999987
164,7월,20,10427.319716
165,7월,21,10327.234687999995
166,7월,22,9590.219586000007
167,7월,23,8861.91009199998
168,8월,0,7161.631950000008
169,8월,1,6771.063336000006
170,8월,2,5913.305144000002
171,8월,3,5928.222349000006
172,8월,4,6310.694656000003
173,8월,5,6877.891466000001
174,8월,6,7727.894462000005
175,8월,7,8808.887691999973
176,8월,8,10184.165787999988
177,8월,9,11127.872776000011
178,8월,10,11878.810574999985
179,8월,11,11393.187460000001
180,8월,12,12715.506797000005
181,8월,13,12898.251714999968
182,8월,14,13080.120460999986
183,8월,15,12173.560563000023
184,8월,16,12036.200438000018
185,8월,17,12234.319687
186,8월,18,12384.726368999998
187,8월,19,12225.127359999973
188,8월,20,11779.140979999987
189,8월,21,10276.539455999988
190,8월,22,8891.398316999996
191,8월,23,7828.069922000009
192,9월,0,7108.472690000006
193,9월,1,6506.750405999991
194,9월,2,6447.847764000004
195,9월,3,6199.453634999994
196,9월,4,6354.580703999994
197,9월,5,7355.817756000003
198,9월,6,7925.974964999989
199,9월,7,8748.571715
200,9월,8,9660.431347000012
201,9월,9,10640.019022000033
202,9월,10,11683.46444699997
203,9월,11,12848.640903999978
204,9월,12,13181.916374999966
205,9월,13,13277.10498400001
206,9월,14,12767.43812799999
207,9월,15,12673.147293999979
208,9월,16,12737.84769800002
209,9월,17,12262.294379000023
210,9월,18,12410.073773999997
211,9월,19,12181.56026399999
212,9월,20,11562.614107999992
213,9월,21,10547.201681000011
214,9월,22,9871.249954000014
215,9월,23,8374.824251000005
216,10월,0,9749.872673000007
217,10월,1,8869.415549000021
218,10월,2,8341.480884999999
219,10월,3,8268.487280999996
220,10월,4,8686.044978999998
221,10월,5,9218.649905000011
222,10월,6,10738.147922000036
223,10월,7,11583.149078000015
224,10월,8,14099.00888800003
225,10월,9,15593.892754000008
226,10월,10,16687.08810700001
227,10월,11,17211.96962500001
228,10월,12,16408.670225
229,10월,13,16504.235025000024
230,10월,14,16858.474447000055
231,10월,15,17426.101299000013
232,10월,16,18430.782493999992
233,10월,17,19006.628836
234,10월,18,19647.61928999994
235,10월,19,19507.847449999987
236,10월,20,19544.481605000048
237,10월,21,18474.968701999962
238,10월,22,13276.622594999986
239,10월,23,11095.046892000015
240,11월,0,7965.670554999998
241,11월,1,7317.760171999997
242,11월,2,6798.882477000006
243,11월,3,6711.439686999998
244,11월,4,6912.798856000008
245,11월,5,7349.703363999998
246,11월,6,8559.155511999996
247,11월,7,9590.964857999992
248,11월,8,11637.636137999983
249,11월,9,14245.025449999976
250,11월,10,15009.479941999993
251,11월,11,15518.535845999995
252,11월,12,15977.488276000011
253,11월,13,15801.181838999988
254,11월,14,15904.575392000008
255,11월,15,15251.136781999981
256,11월,16,15934.630714000026
257,11월,17,15663.406955999995
258,11월,18,15128.275374000028
259,11월,19,13922.897748999992
260,11월,20,14767.044315000008
261,11월,21,12632.690627999986
262,11월,22,10658.102430999978
263,11월,23,9076.712871000016
264,12월,0,7382.839709
265,12월,1,6819.706198000011
266,12월,2,6490.040873000002
267,12월,3,6341.446424000004
268,12월,4,6508.500895000007
269,12월,5,6870.367077000007
270,12월,6,7425.911527000005
271,12월,7,8534.248672
272,12월,8,10242.43423199998
273,12월,9,10861.923254000003
274,12월,10,11787.28942199999
275,12월,11,12554.372353999963
276,12월,12,12547.197268000007
277,12월,13,12883.674325999978
278,12월,14,12898.894650000022
279,12월,15,12305.99279299997
280,12월,16,12593.113120000007
281,12월,17,12295.136743000008
282,12월,18,12272.442331999995
283,12월,19,12163.065431999967
284,12월,20,11523.371834999996
285,12월,21,10372.601326000004
286,12월,22,9432.689674000007
287,12월,23,8407.782143000013
