INDEX_ID,A_MAX
마라22bb81ba,8
마라22bb81bb,13
마라22bb82aa,76
마라22bb82ab,4
마라22bb82ba,0
마라22bb82bb,0
마라22bb83aa,0
마라22bb83ab,26
마라22bb83ba,51
마라22bb83bb,2
마라22bb84aa,0
마라22bb84ba,0
마라22bb84bb,15
마라22bb85aa,0
마라23aa73ab,0
마라23aa73bb,0
마라23aa74bb,0
마라23aa75aa,0
마라23aa75ba,0
마라23aa77ab,15
마라23aa77ba,20
마라23aa77bb,37
마라23aa78aa,92
마라23aa78ab,82
마라23aa78ba,46
마라23aa78bb,96
마라23aa79aa,27
마라23aa79ab,0
마라23aa79ba,0
마라23aa80aa,17
마라23aa80ab,0
마라23aa80ba,5
마라23aa80bb,0
마라23aa81aa,10
마라23aa81ab,1
마라23aa81ba,1
마라23aa81bb,8
마라23aa82aa,21
마라23aa82ab,15
마라23aa82ba,90
마라23aa82bb,1
마라23aa83aa,0
마라23aa83ab,52
마라23aa83ba,36
마라23aa83bb,0
마라23aa84ab,0
마라23aa84ba,1
마라23aa84bb,25
마라23aa85aa,0
마라23aa85ba,0
마라23ab75aa,0
마라23ab75ba,11
마라23ab75bb,0
마라23ab77ab,192
마라23ab77ba,26
마라23ab77bb,196
마라23ab78aa,2500
마라23ab78ab,197
마라23ab78ba,261
마라23ab78bb,167
마라23ab79aa,21
마라23ab79bb,2
마라23ab80aa,46
마라23ab80ab,39
마라23ab80ba,17
마라23ab81aa,34
마라23ab81ab,121
마라23ab81ba,5
마라23ab81bb,11
마라23ab82aa,389
마라23ab82ab,89
마라23ab82ba,41
마라23ab82bb,7
마라23ab83aa,62
마라23ab83ab,42
마라23ab83ba,2
마라23ab84ab,0
마라23ab84ba,16
마라23ab84bb,0
마라23ab85aa,13
마라23ab85ab,57
마라23ab85ba,146
마라23ab85bb,28
마라23ab86aa,0
마라23ba75ab,0
마라23ba75ba,1
마라23ba77ab,376
마라23ba77ba,82
마라23ba77bb,576
마라23ba78aa,848
마라23ba78ab,49
마라23ba78ba,340
마라23ba78bb,153
마라23ba79aa,49
마라23ba79ab,0
마라23ba79bb,1
마라23ba80aa,71
마라23ba80ab,284
마라23ba81aa,10
마라23ba81ab,241
마라23ba81ba,176
마라23ba81bb,110
마라23ba82aa,270
마라23ba82ab,148
마라23ba82ba,17
마라23ba82bb,62
마라23ba83aa,408
마라23ba83ab,196
마라23ba83ba,37
마라23ba83bb,0
마라23ba84aa,1
마라23ba84ab,11
마라23ba84ba,17
마라23ba84bb,4
마라23ba85aa,2
마라23ba85ab,95
마라23ba85ba,186
마라23ba85bb,169
마라23ba86aa,30
마라23bb77ab,106
마라23bb77ba,69
마라23bb77bb,269
마라23bb78aa,74
마라23bb78ab,160
마라23bb78ba,66
마라23bb78bb,139
마라23bb79aa,167
마라23bb79ab,0
마라23bb79ba,0
마라23bb80aa,2
마라23bb80ab,26
마라23bb81ba,84
마라23bb81bb,42
마라23bb82aa,554
마라23bb82ab,124
마라23bb82ba,110
마라23bb82bb,111
마라23bb83aa,234
마라23bb83ab,168
마라23bb83ba,22
마라23bb83bb,6
마라23bb84aa,33
마라23bb84ab,108
마라23bb84ba,39
마라23bb84bb,7
마라23bb85aa,3
마라23bb85ab,79
마라23bb85ba,78
마라23bb85bb,65
마라23bb86aa,289
마라23bb86ab,8
마라24aa77ab,29
마라24aa77ba,227
마라24aa77bb,294
마라24aa78aa,236
마라24aa78ab,176
마라24aa78ba,183
마라24aa78bb,235
마라24aa79aa,44
마라24aa79ab,1
마라24aa79ba,13
마라24aa80aa,0
마라24aa80ab,0
마라24aa81bb,4
마라24aa82aa,89
마라24aa82ba,13
마라24aa82bb,180
마라24aa83aa,5
마라24aa83ab,1
마라24aa83ba,33
마라24aa83bb,80
마라24aa84aa,71
마라24aa84ab,4
마라24aa84ba,24
마라24aa84bb,12
마라24aa85aa,3
마라24aa85ab,10
마라24aa85ba,83
마라24aa85bb,94
마라24aa86aa,14
마라24ab75bb,0
마라24ab77ab,55
마라24ab77ba,95
마라24ab77bb,473
마라24ab78aa,275
마라24ab78ab,227
마라24ab78ba,317
마라24ab78bb,269
마라24ab79aa,30
마라24ab79ab,0
마라24ab79ba,0
마라24ab80aa,0
마라24ab80ab,2
마라24ab80ba,0
마라24ab82ab,0
마라24ab82bb,176
마라24ab83aa,106
마라24ab83ab,0
마라24ab83ba,0
마라24ab83bb,14
마라24ab84aa,65
마라24ab84ab,2
마라24ab84ba,43
마라24ab84bb,4
마라24ab85aa,17
마라24ab85ab,11
마라24ab85ba,28
마라24ab85bb,87
마라24ab86aa,20
마라24ba77ab,3
마라24ba77ba,10
마라24ba77bb,786
마라24ba78aa,84
마라24ba78ab,212
마라24ba78ba,90
마라24ba78bb,98
마라24ba79aa,45
마라24ba79ab,1
마라24ba79ba,0
마라24ba80ab,59
마라24ba80ba,73
마라24ba80bb,1
마라24ba83aa,89
마라24ba83ab,35
마라24ba83ba,0
마라24ba83bb,6
마라24ba84aa,148
마라24ba84ab,379
마라24ba84ba,10
마라24ba84bb,0
마라24ba85aa,0
마라24ba85ab,0
마라24ba85bb,80
마라24ba86aa,7
마라24bb77aa,0
마라24bb77ab,30
마라24bb77ba,7
마라24bb77bb,74
마라24bb78aa,35
마라24bb78ab,29
마라24bb78ba,1
마라24bb78bb,15
마라24bb79aa,36
마라24bb79ab,1
마라24bb79ba,20
마라24bb79bb,0
마라24bb80aa,7
마라24bb80ab,97
마라24bb80ba,221
마라24bb82bb,6
마라24bb83aa,158
마라24bb83ab,47
마라24bb83ba,4
마라24bb83bb,277
마라24bb84aa,1678
마라24bb84ab,144
마라24bb84ba,29
마라24bb84bb,0
마라24bb90aa,0
마라24bb90ab,12
마라24bb90ba,3
마라25aa75bb,0
마라25aa76bb,0
마라25aa77aa,70
마라25aa77ab,225
마라25aa77ba,168
마라25aa77bb,1353
마라25aa78aa,47
마라25aa78ab,45
마라25aa78ba,0
마라25aa78bb,4
마라25aa79aa,62
마라25aa79ab,30
마라25aa79ba,114
마라25aa79bb,62
마라25aa80aa,11
마라25aa80ab,750
마라25aa80ba,85
마라25aa81bb,0
마라25aa82ab,0
마라25aa82ba,0
마라25aa83aa,22
마라25aa83ab,34
마라25aa83ba,1922
마라25aa83bb,3406
마라25aa84aa,334
마라25aa84ab,41
마라25aa84ba,29
마라25aa84bb,0
마라25aa85aa,2
마라25aa85ba,0
마라25aa87aa,111
마라25aa87ab,0
마라25aa89ba,0
마라25aa89bb,0
마라25aa90aa,0
마라25aa90ab,0
마라25aa90ba,1
마라25aa90bb,14
마라25ab76bb,4
마라25ab77aa,50
마라25ab77ab,615
마라25ab77ba,245
마라25ab77bb,1540
마라25ab78aa,795
마라25ab78ab,157
마라25ab78ba,129
마라25ab78bb,26
마라25ab79aa,317
마라25ab79ab,69
마라25ab79ba,15
마라25ab79bb,364
마라25ab80aa,3
마라25ab80ab,174
마라25ab80ba,347
마라25ab80bb,0
마라25ab82ab,1
마라25ab82ba,0
마라25ab82bb,0
마라25ab83aa,48
마라25ab83ab,263
마라25ab83ba,351
마라25ab83bb,187
마라25ab84aa,244
마라25ab84ab,351
마라25ab84ba,40
마라25ab84bb,108
마라25ab85aa,126
마라25ab85ab,125
마라25ab85ba,4
마라25ab86ba,5
마라25ab86bb,178
마라25ab87aa,160
마라25ab88bb,0
마라25ab89aa,0
마라25ab89ab,0
마라25ab89ba,0
마라25ab89bb,0
마라25ab90aa,0
마라25ab90ab,0
마라25ab90ba,18
마라25ab90bb,10
마라25ab91aa,23
마라25ab91ab,3
마라25ba76bb,89
마라25ba77aa,782
마라25ba77ab,952
마라25ba77ba,2821
마라25ba77bb,2023
마라25ba78aa,237
마라25ba78ab,78
마라25ba78ba,56
마라25ba78bb,47
마라25ba79aa,346
마라25ba79ab,108
마라25ba79ba,416
마라25ba79bb,89
마라25ba80aa,89
마라25ba80ab,532
마라25ba80ba,461
마라25ba80bb,0
마라25ba81aa,0
마라25ba81ab,0
마라25ba82ab,15
마라25ba82ba,103
마라25ba82bb,16
마라25ba83aa,70
마라25ba83ab,1112
마라25ba83ba,879
마라25ba83bb,59
마라25ba84aa,41
마라25ba84ab,238
마라25ba84ba,1409
마라25ba84bb,1095
마라25ba85aa,72
마라25ba85ab,70
마라25ba85ba,8
마라25ba86aa,0
마라25ba86ab,1
마라25ba86ba,58
마라25ba86bb,157
마라25ba87aa,1
마라25ba87ab,0
마라25ba87ba,0
마라25ba87bb,11
마라25ba88aa,0
마라25ba88ab,0
마라25ba88ba,0
마라25ba88bb,0
마라25ba89aa,0
마라25ba89ab,0
마라25ba89ba,0
마라25ba89bb,1
마라25ba90aa,0
마라25ba90ab,0
마라25ba90ba,0
마라25ba91ab,2
마라25bb76bb,37
마라25bb77aa,694
마라25bb77ab,833
마라25bb77ba,8250
마라25bb77bb,1624
마라25bb78aa,305
마라25bb78ab,136
마라25bb78ba,85
마라25bb78bb,72
마라25bb79aa,399
마라25bb79ab,120
마라25bb79ba,214
마라25bb79bb,82
마라25bb80aa,1031
마라25bb80ab,418
마라25bb80ba,115
마라25bb80bb,2
마라25bb81aa,0
마라25bb81bb,0
마라25bb82ab,64
마라25bb82ba,176
마라25bb82bb,44
마라25bb83aa,48
마라25bb83ab,228
마라25bb83ba,71
마라25bb83bb,4
마라25bb84aa,0
마라25bb84ab,4
마라25bb84ba,317
마라25bb84bb,1285
마라25bb85aa,1191
마라25bb85ab,110
마라25bb85ba,0
마라25bb86aa,0
마라25bb86ab,62
마라25bb86ba,420
마라25bb86bb,26
마라25bb87aa,0
마라25bb87ab,0
마라25bb87ba,0
마라25bb87bb,2
마라25bb88aa,0
마라25bb88ab,0
마라25bb88ba,0
마라25bb88bb,4
마라25bb89aa,0
마라25bb90aa,0
마라25bb90ba,0
마라25bb91aa,0
마라25bb91ab,0
마라25bb91ba,0
마라26aa76bb,231
마라26aa77aa,152
마라26aa77ab,54
마라26aa77ba,200
마라26aa77bb,700
마라26aa78aa,177
마라26aa78ab,26
마라26aa78ba,20
마라26aa78bb,58
마라26aa79aa,100
마라26aa79ab,151
마라26aa79ba,193
마라26aa79bb,208
마라26aa80aa,49
마라26aa80ab,615
마라26aa80ba,1285
마라26aa80bb,25
마라26aa81aa,0
마라26aa82ba,9
마라26aa82bb,29
마라26aa83aa,337
마라26aa83ab,1153
마라26aa83ba,6
마라26aa83bb,12
마라26aa84aa,21
마라26aa84ab,3
마라26aa84ba,139
마라26aa84bb,39
마라26aa85aa,197
마라26aa85ab,478
마라26aa85ba,608
마라26aa85bb,271
마라26aa86aa,4
마라26aa86ab,516
마라26aa86ba,78
마라26aa86bb,0
마라26aa87aa,0
마라26aa87ab,0
마라26aa87ba,3
마라26aa87bb,0
마라26aa88aa,0
마라26aa88ab,0
마라26aa88ba,4
마라26aa88bb,3
마라26aa89aa,0
마라26aa89bb,0
마라26aa90aa,0
마라26aa90ab,0
마라26aa90ba,0
마라26aa90bb,0
마라26aa91aa,0
마라26aa91ab,0
마라26aa91ba,4
마라26aa91bb,3
마라26ab75ba,1
마라26ab77ba,70
마라26ab77bb,22
마라26ab78aa,11
마라26ab78ab,5
마라26ab78ba,11
마라26ab78bb,19
마라26ab79aa,78
마라26ab79ab,154
마라26ab79ba,155
마라26ab79bb,104
마라26ab80aa,28
마라26ab80ab,24
마라26ab80ba,549
마라26ab80bb,136
마라26ab81aa,280
마라26ab81ab,0
마라26ab81ba,2
마라26ab81bb,0
마라26ab82bb,0
마라26ab83aa,34
마라26ab83ab,51
마라26ab83ba,0
마라26ab83bb,11
마라26ab84aa,22
마라26ab84ab,10
마라26ab84ba,3
마라26ab84bb,4
마라26ab85aa,11
마라26ab85ab,2
마라26ab85ba,113
마라26ab85bb,189
마라26ab86aa,130
마라26ab86ab,251
마라26ab86ba,2
마라26ab86bb,1
마라26ab87aa,0
마라26ab87ab,12
마라26ab87ba,53
마라26ab87bb,15
마라26ab88aa,0
마라26ab88ab,0
마라26ab88ba,0
마라26ab88bb,0
마라26ab89aa,0
마라26ab89bb,12
마라26ab90aa,6
마라26ab90ab,2
마라26ab90ba,14
마라26ab90bb,2
마라26ab91aa,3
마라26ab91ab,10
마라26ab91ba,42
마라26ab91bb,212
마라26ba78aa,435
마라26ba78ab,0
마라26ba78ba,5
마라26ba78bb,0
마라26ba79aa,3
마라26ba79ab,4
마라26ba79ba,5
마라26ba79bb,0
마라26ba80aa,1
마라26ba80ab,0
마라26ba80ba,8
마라26ba80bb,39
마라26ba81aa,1284
마라26ba81ab,106
마라26ba81ba,0
마라26ba83aa,179
마라26ba83ab,139
마라26ba83ba,6
마라26ba83bb,0
마라26ba84aa,7
마라26ba84ab,18
마라26ba84ba,4
마라26ba84bb,2
마라26ba85aa,3
마라26ba85ab,0
마라26ba85ba,3
마라26ba85bb,17
마라26ba86aa,786
마라26ba86ab,321
마라26ba86ba,3
마라26ba86bb,22
마라26ba87aa,0
마라26ba87ab,14
마라26ba87ba,2
마라26ba87bb,3
마라26ba88aa,0
마라26ba88ab,0
마라26ba88ba,0
