,month,TIME,F_MAX
182,8월,14,490.5527000000002
183,8월,15,494.8515
184,8월,16,503.3367000000001
185,8월,17,521.6671000000001
186,8월,18,524.7757999999994
187,8월,19,535.7881000000003
188,8월,20,544.1989999999994
189,8월,21,551.2793000000003
190,8월,22,551.6098000000003
191,8월,23,552.4723999999999
192,9월,0,482.1676999999998
193,9월,1,448.7218999999999
194,9월,2,476.2189000000001
195,9월,3,512.4680999999999
196,9월,4,528.3788
197,9월,5,504.484
198,9월,6,498.49369999999993
199,9월,7,506.89740000000063
200,9월,8,499.8527999999997
201,9월,9,482.9873000000006
202,9월,10,404.47770000000014
203,9월,11,438.2086000000002
204,9월,12,449.74009999999964
205,9월,13,425.1723000000002
206,9월,14,442.2292
207,9월,15,488.3845000000001
208,9월,16,490.4309999999996
209,9월,17,461.00989999999985
210,9월,18,482.25239999999957
211,9월,19,544.5873000000003
212,9월,20,493.5994000000001
213,9월,21,521.9966999999999
214,9월,22,510.84439999999984
215,9월,23,486.7758000000001
216,10월,0,589.8101999999998
217,10월,1,577.7255999999999
218,10월,2,587.14
219,10월,3,578.7415000000002
220,10월,4,542.3098999999996
221,10월,5,534.5789999999998
222,10월,6,512.3130000000004
223,10월,7,532.2903000000001
224,10월,8,523.3126000000007
225,10월,9,509.6759000000001
226,10월,10,561.2337999999994
227,10월,11,529.0263999999996
228,10월,12,559.3086999999998
229,10월,13,573.1914999999999
230,10월,14,599.3463999999996
231,10월,15,573.7940000000003
232,10월,16,565.3600000000005
233,10월,17,564.2897
234,10월,18,591.1816999999998
235,10월,19,558.6758000000008
236,10월,20,621.7082000000006
237,10월,21,639.0980000000008
238,10월,22,689.3345999999998
239,10월,23,666.9977000000002
240,11월,0,481.0155000000003
241,11월,1,468.29139999999995
242,11월,2,448.51159999999976
243,11월,3,438.13709999999986
244,11월,4,440.97590000000014
245,11월,5,466.0875000000005
246,11월,6,452.09629999999976
247,11월,7,443.71279999999985
248,11월,8,437.788
249,11월,9,443.22719999999987
250,11월,10,478.12269999999995
251,11월,11,510.6126
252,11월,12,487.96620000000024
253,11월,13,455.0036000000001
254,11월,14,396.96279999999973
255,11월,15,405.40299999999985
256,11월,16,433.92810000000003
257,11월,17,536.6509000000003
258,11월,18,490.9956000000005
259,11월,19,535.4966
260,11월,20,538.3565999999997
261,11월,21,564.6864
262,11월,22,544.4267000000001
263,11월,23,502.54080000000005
264,12월,0,408.59109999999964
265,12월,1,387.45579999999995
266,12월,2,382.20770000000033
267,12월,3,408.84970000000004
268,12월,4,408.72890000000024
269,12월,5,386.97710000000006
270,12월,6,380.58569999999975
271,12월,7,374.4034999999999
272,12월,8,388.86149999999947
273,12월,9,394.24630000000053
274,12월,10,423.5125
275,12월,11,417.5239000000006
276,12월,12,464.2193000000005
277,12월,13,438.8194
278,12월,14,453.0594
279,12월,15,411.99490000000014
280,12월,16,372.3984999999999
281,12월,17,429.8113000000007
282,12월,18,443.82220000000007
283,12월,19,451.1903000000002
284,12월,20,462.34169999999955
285,12월,21,423.43480000000034
286,12월,22,425.87209999999965
287,12월,23,423.4704
