,month,TIME,F_MAX
85,4월,13,809.7537300000001
86,4월,14,814.2086849999998
87,4월,15,816.7289490000002
88,4월,16,828.4651079999998
89,4월,17,889.7636620000002
90,4월,18,966.6993110000002
91,4월,19,977.154842
92,4월,20,998.3938570000003
93,4월,21,945.0496820000003
94,4월,22,796.150774
95,4월,23,615.0475369999997
96,5월,0,564.4452560000001
97,5월,1,458.25839499999995
98,5월,2,427.00936199999995
99,5월,3,400.752809
100,5월,4,389.1930399999999
101,5월,5,381.77284799999995
102,5월,6,401.75522299999983
103,5월,7,422.53798700000004
104,5월,8,598.150732
105,5월,9,671.211218
106,5월,10,747.5942909999999
107,5월,11,802.222663
108,5월,12,693.6790820000001
109,5월,13,751.6630910000001
110,5월,14,733.733549
111,5월,15,757.2591040000002
112,5월,16,746.1422559999997
113,5월,17,763.4431569999998
114,5월,18,911.6083529999999
115,5월,19,901.1883200000003
116,5월,20,1020.9015039999999
117,5월,21,944.5006519999998
118,5월,22,760.6164799999999
119,5월,23,607.313583
120,6월,0,477.08466899999996
121,6월,1,402.40774100000004
122,6월,2,337.5319180000001
123,6월,3,310.56650900000005
124,6월,4,295.26529200000004
125,6월,5,361.29024799999996
126,6월,6,341.95032199999997
127,6월,7,379.9273300000001
128,6월,8,498.65495599999997
129,6월,9,607.9544739999997
130,6월,10,622.6921729999999
131,6월,11,741.087685
132,6월,12,644.6160079999997
133,6월,13,722.2240609999998
134,6월,14,682.1070759999999
135,6월,15,663.121187
136,6월,16,710.890844
137,6월,17,774.147598
138,6월,18,822.7824639999998
139,6월,19,828.1536520000002
140,6월,20,1037.881484
141,6월,21,1006.8930569999998
142,6월,22,745.4595579999999
143,6월,23,578.6255510000001
144,7월,0,332.422776
145,7월,1,320.848199
146,7월,2,220.388269
147,7월,3,215.895602
148,7월,4,216.43748499999995
149,7월,5,225.609324
150,7월,6,247.742311
151,7월,7,272.300453
152,7월,8,304.690621
153,7월,9,311.72859100000005
154,7월,10,330.3833429999999
155,7월,11,343.63828600000005
156,7월,12,365.0630080000001
157,7월,13,402.21689800000007
158,7월,14,344.1966930000001
159,7월,15,355.919688
160,7월,16,385.22538299999997
161,7월,17,419.81273199999987
162,7월,18,446.4392850000002
163,7월,19,454.949472
164,7월,20,512.989449
165,7월,21,465.92191900000006
166,7월,22,428.59098
167,7월,23,368.17054299999995
168,8월,0,367.804114
169,8월,1,315.6478629999998
170,8월,2,301.36907300000007
171,8월,3,290.77585199999993
172,8월,4,297.3866110000001
173,8월,5,319.71980199999996
174,8월,6,317.3340819999999
175,8월,7,376.77037800000005
176,8월,8,438.37533900000005
177,8월,9,470.84548900000004
178,8월,10,496.2962679999999
179,8월,11,498.22641700000014
180,8월,12,547.4142740000001
181,8월,13,522.8750080000001
182,8월,14,502.39421300000004
183,8월,15,500.596532
184,8월,16,530.1284730000003
185,8월,17,599.0182439999999
186,8월,18,708.2255210000002
187,8월,19,767.780914
188,8월,20,812.0380719999999
189,8월,21,617.749786
190,8월,22,521.1280720000001
191,8월,23,446.36524
192,9월,0,385.911166
193,9월,1,348.30201300000004
194,9월,2,328.75795
195,9월,3,323.0999280000001
196,9월,4,324.039861
197,9월,5,337.01940899999994
198,9월,6,358.720676
199,9월,7,424.46544600000004
200,9월,8,496.4034040000001
201,9월,9,510.4819989999999
202,9월,10,550.7604039999999
203,9월,11,553.4097649999999
204,9월,12,553.5804470000002
205,9월,13,555.5263249999999
206,9월,14,518.3454129999999
207,9월,15,550.7530049999998
208,9월,16,585.4683479999999
209,9월,17,665.3321910000002
210,9월,18,742.2234799999998
211,9월,19,836.6295760000004
212,9월,20,783.5726350000001
213,9월,21,674.0497490000001
214,9월,22,539.0256700000002
215,9월,23,455.204104
216,10월,0,523.8188050000001
217,10월,1,478.122839
218,10월,2,421.44784799999996
219,10월,3,417.4762719999999
220,10월,4,441.0875399999999
221,10월,5,463.952072
222,10월,6,524.008258
223,10월,7,567.613837
224,10월,8,721.8828229999999
225,10월,9,755.8183370000002
226,10월,10,691.6215099999997
227,10월,11,701.103483
228,10월,12,675.7219990000003
229,10월,13,725.1362500000001
230,10월,14,831.1164370000001
231,10월,15,1390.8347870000005
232,10월,16,2224.470725
233,10월,17,2680.1526340000014
234,10월,18,3677.8764529999994
235,10월,19,4250.119288999998
236,10월,20,4608.584942999998
237,10월,21,4239.929666
238,10월,22,1550.5075719999998
239,10월,23,721.544105
240,11월,0,422.08819800000003
241,11월,1,389.61011900000005
242,11월,2,338.7185259999999
243,11월,3,348.98098999999996
244,11월,4,351.93188499999985
245,11월,5,358.70760599999994
246,11월,6,409.540482
247,11월,7,430.09819199999987
248,11월,8,544.1937409999998
249,11월,9,810.3936300000001
250,11월,10,509.55835500000006
251,11월,11,574.1138859999999
252,11월,12,614.3318149999998
253,11월,13,568.763301
254,11월,14,534.108431
255,11월,15,583.135516
256,11월,16,664.2065140000002
257,11월,17,750.8951770000001
258,11월,18,894.607869
259,11월,19,895.7519319999997
260,11월,20,949.690085
261,11월,21,756.9509089999998
262,11월,22,661.1134480000002
263,11월,23,513.374179
264,12월,0,400.770461
265,12월,1,359.1588850000001
266,12월,2,338.874315
267,12월,3,322.2046060000001
268,12월,4,330.62594299999984
269,12월,5,316.31673800000004
270,12월,6,340.962078
271,12월,7,366.0518739999998
272,12월,8,457.059461
273,12월,9,466.4459929999999
274,12월,10,537.0094680000001
275,12월,11,567.5633030000001
276,12월,12,554.50407
277,12월,13,560.813185
278,12월,14,569.441656
279,12월,15,567.0007080000001
280,12월,16,612.269325
281,12월,17,704.3675179999997
282,12월,18,842.2659829999997
283,12월,19,903.745987
284,12월,20,874.027721
285,12월,21,715.1487920000002
286,12월,22,601.1721499999999
287,12월,23,550.2319180000002
